HASH,HASH_W_LEADING_ZEROS,API_NAME
0x458e154d,0x458e154d,$I10_OUTPUT
0x6a41e9c3,0x6a41e9c3,1-1-0.AddDllDirectory
0xc010403e,0xc010403e,1-1-0.CreateRemoteThreadEx
0xb5c23d90,0xb5c23d90,1-1-0.DeleteProc
0x940882e4,0x940882e4,1-1-0.GetLogical
0x293adfe7,0x293adfe7,1-1-0.I_Query
0x7f3322a7,0x7f3322a7,1-1-0.I_Sc
0x12e31511,0x12e31511,1-1-0.I_ScValidate
0xae330cf7,0xae330cf7,1-1-0.InitializeProcThreadAttributeList
0x5768c2db,0x5768c2db,1-1-0.OpenProcessToken
0x2ed3fb4,0x02ed3fb4,1-1-0.OpenThreadToken
0xfbe7ee68,0xfbe7ee68,1-1-0.RemoveDllDirectory
0x9c4eb413,0x9c4eb413,1-1-0.SetDefaultDllDirectories
0x2a1ea90e,0x2a1ea90e,1-1-0.SetThreadToken
0x234be35c,0x234be35c,1-1-0.SetWaitableTimerEx
0x9534d92c,0x9534d92c,1-1-0.UpdateProcThreadAttribute
0x8c753479,0x8c753479,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UTextMarker@mark
0x2fd6cb40,0x2fd6cb40,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x76db9024,0x76db9024,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UNoPayload@markers@01@@Z
0x13151278,0x13151278,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UNoPayload@markers@01@@Z
0x42f220cf,0x42f220cf,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$Q
