HASH,HASH_W_LEADING_ZEROS,API_NAME
0x13da762d,0x13da762d,$I10_OUTPUT
0x81296e23,0x81296e23,1-1-0.AddDllDirectory
0x3537e0be,0x3537e0be,1-1-0.CreateRemoteThreadEx
0x3725edd0,0x3725edd0,1-1-0.DeleteProc
0xb4a23f24,0xb4a23f24,1-1-0.GetLogical
0xcac58827,0xcac58827,1-1-0.I_Query
0x7f44b2e7,0x7f44b2e7,1-1-0.I_Sc
0x3adb8171,0x3adb8171,1-1-0.I_ScValidate
0xe31ee997,0xe31ee997,1-1-0.InitializeProcThreadAttributeList
0xfebc3b3b,0xfebc3b3b,1-1-0.OpenProcessToken
0x19b4b014,0x19b4b014,1-1-0.OpenThreadToken
0x6ca5fec8,0x6ca5fec8,1-1-0.RemoveDllDirectory
0xaebabc93,0xaebabc93,1-1-0.SetDefaultDllDirectories
0x3fff956e,0x3fff956e,1-1-0.SetThreadToken
0xee457bdc,0xee457bdc,1-1-0.SetWaitableTimerEx
0x2c07d9ac,0x2c07d9ac,1-1-0.UpdateProcThreadAttribute
0x7e10d159,0x7e10d159,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UTextMarker@mark
0xe7f6fdc0,0xe7f6fdc0,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x31f3a584,0x31f3a584,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UNoPayload@markers@01@@Z
0xa5285458,0xa5285458,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UNoPayload@markers@01@@Z
0x624e61cf,0x624e61cf,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$Q
0x94de4578,0x94de4578,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x569099e8,0x569099e8,??0AutoSuppressStackWalking@@QEAA@XZ
0x4f6d7e3c,0x4f6d7e3c,??0AwakeTimeDuration@mozilla@@QAE@XZ
0xe57f83b0,0xe57f83b0,??0ConditionVariableImpl@detail@mozilla@@QAE@XZ
0x9e8d64b1,0x9e8d64b1,??0ConditionVariableImpl@detail@mozilla@@QEAA@XZ
0x705731c7,0x705731c7,??0Decimal@blink@@QAE@ABV01@@Z
0x30a503f3,0x30a503f3,??0Decimal@blink@@QAE@ABVEncodedData@01@@Z
0xc55a43f5,0xc55a43f5,??0Decimal@blink@@QAE@H@Z
0x4d3ab9bc,0x4d3ab9bc,??0Decimal@blink@@QAE@W4Sign@01@H_K@Z
0x8bfda58d,0x8bfda58d,??0Decimal@blink@@QEAA@AEBV01@@Z
0xa1150b9,0x0a1150b9,??0Decimal@blink@@QEAA@AEBVEncodedData@01@@Z
0x9d76efb6,0x9d76efb6,??0Decimal@blink@@QEAA@H@Z
0x81560efd,0x81560efd,??0Decimal@blink@@QEAA@W4Sign@01@H_K@Z
0x19fe3882,0x19fe3882,??0LZ4FrameCompressionContext@Compression@mozilla@@QAE@HI_N0@Z
0xa2dd4b25,0xa2dd4b25,??0LZ4FrameCompressionContext@Compression@mozilla@@QEAA@H_K_N1@Z
0x46aaf04a,0x46aaf04a,??0LZ4FrameDecompressionContext@Compression@mozilla@@QAE@_N@Z
0xe3e9222b,0xe3e9222b,??0LZ4FrameDecompressionContext@Compression@mozilla@@QEAA@_N@Z
0x1688d536,0x1688d536,??0MutexImpl@detail@mozilla@@QAE@XZ
0xf0c0e6f7,0xf0c0e6f7,??0MutexImpl@detail@mozilla@@QEAA@XZ
0xcb0b8890,0xcb0b8890,??0PrintfTarget@mozilla@@IAE@XZ
0x359a0591,0x359a0591,??0PrintfTarget@mozilla@@IEAA@XZ
0xbdd101d2,0xbdd101d2,??0RLBoxSoundTouch@mozilla@@QEAA@XZ
0x8a418935,0x8a418935,??0RWLockImpl@detail@mozilla@@QAE@XZ
0xc5e209e0,0xc5e209e0,??0SHA1Sum@mozilla@@QAE@XZ
0x8b40b0e1,0x8b40b0e1,??0SHA1Sum@mozilla@@QEAA@XZ
0xc98075a0,0xc98075a0,??0SoundTouch@soundtouch@@QAE@ABV01@@Z
0x90afd77e,0x90afd77e,??0SoundTouch@soundtouch@@QAE@XZ
0x81fa89ee,0x81fa89ee,??0TimeStampValue@mozilla@@AAE@_K0_N@Z
0x3f669080,0x3f669080,??0TimeStampValue@mozilla@@AEAA@_K0_N1@Z
0x92b2f6d9,0x92b2f6d9,??0UniqueJSONStrings@baseprofiler@mozilla@@QAE@ABV012@VProgressLogger@2@W4CollectionStyle@JSONWriter@2@@Z
0x82622d10,0x82622d10,??0UniqueJSONStrings@baseprofiler@mozilla@@QAE@W4CollectionStyle@JSONWriter@2@@Z
0x787a56c2,0x787a56c2,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@AEBV012@W4CollectionStyle@JSONWriter@2@@Z
0x83238ed1,0x83238ed1,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@W4CollectionStyle@JSONWriter@2@@Z
0x14042cb8,0x14042cb8,??0__non_rtti_object@@QAE@ABV0@@Z
0xd51e31c5,0xd51e31c5,??0__non_rtti_object@@QAE@PBD@Z
0xf616fed8,0xf616fed8,??0bad_cast@@AAE@PBQBD@Z
0xc938c399,0xc938c399,??0bad_cast@@QAE@ABQBD@Z
0xc9773a08,0xc9773a08,??0bad_cast@@QAE@ABV0@@Z
0xe0cdab15,0xe0cdab15,??0bad_cast@@QAE@PBD@Z
0xfecaebcc,0xfecaebcc,??0bad_typeid@@QAE@ABV0@@Z
