HASH,HASH_W_LEADING_ZEROS,API_NAME
0x458e154d,0x458e154d,$I10_OUTPUT
0x74f44843,0x74f44843,1-1-0.AddDllDirectory
0xe42ae63e,0xe42ae63e,1-1-0.CreateRemoteThreadEx
0xb1c93890,0xb1c93890,1-1-0.DeleteProc
0x2f4589e4,0x2f4589e4,1-1-0.GetLogical
0x2928c767,0x2928c767,1-1-0.I_Query
0x7f332287,0x7f332287,1-1-0.I_Sc
0x97132011,0x97132011,1-1-0.I_ScValidate
0xaaeea577,0xaaeea577,1-1-0.InitializeProcThreadAttributeList
0x6be2593b,0x6be2593b,1-1-0.OpenProcessToken
0xd7f8a34,0x0d7f8a34,1-1-0.OpenThreadToken
0xbbcb9888,0xbbcb9888,1-1-0.RemoveDllDirectory
0x2a26993,0x02a26993,1-1-0.SetDefaultDllDirectories
0x9cb827ae,0x9cb827ae,1-1-0.SetThreadToken
0x3d6b159c,0x3d6b159c,1-1-0.SetWaitableTimerEx
0xfce5268c,0xfce5268c,1-1-0.UpdateProcThreadAttribute
0x95962fd9,0x95962fd9,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UTextMarker@mark
0x5bff55c0,0x5bff55c0,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0xc914c504,0xc914c504,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UNoPayload@markers@01@@Z
0xddb41358,0xddb41358,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UNoPayload@markers@01@@Z
0xa378bc2f,0xa378bc2f,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$Q
0xe52ad178,0xe52ad178,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x36299a28,0x36299a28,??0AutoSuppressStackWalking@@QEAA@XZ
0xc564b29c,0xc564b29c,??0AwakeTimeDuration@mozilla@@QAE@XZ
0xebfe06d0,0xebfe06d0,??0ConditionVariableImpl@detail@mozilla@@QAE@XZ
0x74cb47b1,0x74cb47b1,??0ConditionVariableImpl@detail@mozilla@@QEAA@XZ
0x586cab67,0x586cab67,??0Decimal@blink@@QAE@ABV01@@Z
0xb1e33833,0xb1e33833,??0Decimal@blink@@QAE@ABVEncodedData@01@@Z
0x7deca9d5,0x7deca9d5,??0Decimal@blink@@QAE@H@Z
0x151cdedc,0x151cdedc,??0Decimal@blink@@QAE@W4Sign@01@H_K@Z
0xbb275eed,0xbb275eed,??0Decimal@blink@@QEAA@AEBV01@@Z
0xfb0164b9,0xfb0164b9,??0Decimal@blink@@QEAA@AEBVEncodedData@01@@Z
0x66240976,0x66240976,??0Decimal@blink@@QEAA@H@Z
0x371fb7fd,0x371fb7fd,??0Decimal@blink@@QEAA@W4Sign@01@H_K@Z
0xf1eaba42,0xf1eaba42,??0LZ4FrameCompressionContext@Compression@mozilla@@QAE@HI_N0@Z
0x361c34c5,0x361c34c5,??0LZ4FrameCompressionContext@Compression@mozilla@@QEAA@H_K_N1@Z
0x5f290e0a,0x5f290e0a,??0LZ4FrameDecompressionContext@Compression@mozilla@@QAE@_N@Z
0xc196ebcb,0xc196ebcb,??0LZ4FrameDecompressionContext@Compression@mozilla@@QEAA@_N@Z
0xba2c61d6,0xba2c61d6,??0MutexImpl@detail@mozilla@@QAE@XZ
0x8c50377,0x08c50377,??0MutexImpl@detail@mozilla@@QEAA@XZ
0xa3171590,0xa3171590,??0PrintfTarget@mozilla@@IAE@XZ
0xf062e71,0x0f062e71,??0PrintfTarget@mozilla@@IEAA@XZ
0x1f9ec252,0x1f9ec252,??0RLBoxSoundTouch@mozilla@@QEAA@XZ
0x6ec95b5,0x06ec95b5,??0RWLockImpl@detail@mozilla@@QAE@XZ
0x2a05d7a0,0x2a05d7a0,??0SHA1Sum@mozilla@@QAE@XZ
0x73cd3281,0x73cd3281,??0SHA1Sum@mozilla@@QEAA@XZ
0x2d04b240,0x2d04b240,??0SoundTouch@soundtouch@@QAE@ABV01@@Z
0x39e6005e,0x39e6005e,??0SoundTouch@soundtouch@@QAE@XZ
0xd26bba8e,0xd26bba8e,??0TimeStampValue@mozilla@@AAE@_K0_N@Z
0xdab95500,0xdab95500,??0TimeStampValue@mozilla@@AEAA@_K0_N1@Z
0xa6967859,0xa6967859,??0UniqueJSONStrings@baseprofiler@mozilla@@QAE@ABV012@VProgressLogger@2@W4CollectionStyle@JSONWriter@2@@Z
0x73fd20d0,0x73fd20d0,??0UniqueJSONStrings@baseprofiler@mozilla@@QAE@W4CollectionStyle@JSONWriter@2@@Z
0x7d52bde2,0x7d52bde2,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@AEBV012@W4CollectionStyle@JSONWriter@2@@Z
0x4cb05e71,0x4cb05e71,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@W4CollectionStyle@JSONWriter@2@@Z
0xd871fe38,0xd871fe38,??0__non_rtti_object@@QAE@ABV0@@Z
0x2ab1b45,0x02ab1b45,??0__non_rtti_object@@QAE@PBD@Z
0xd8b674d8,0xd8b674d8,??0bad_cast@@AAE@PBQBD@Z
0xabd83999,0xabd83999,??0bad_cast@@QAE@ABQBD@Z
0xac28c448,0xac28c448,??0bad_cast@@QAE@ABV0@@Z
0x12d91d55,0x12d91d55,??0bad_cast@@QAE@PBD@Z
0x4760d1cc,0x4760d1cc,??0bad_typeid@@QAE@ABV0@@Z
0x6ee7f9d9,0x6ee7f9d9,??0bad_typeid@@QAE@PBD@Z
0x85ca4917,0x85ca4917,??0exception@@QAE@ABQBD@Z
0x861ad3c6,0x861ad3c6,??0exception@@QAE@ABV0@@Z
0x4759b8b5,0x4759b8b5,??0exception@@QAE@XZ
0x6e59de49,0x6e59de49,??1AutoSuppressStackWalking@@QEAA@XZ
0x9a5ad451,0x9a5ad451,??1ConditionVariableImpl@detail@mozilla@@QAE@XZ
0xeec1c552,0xeec1c552,??1ConditionVariableImpl@detail@mozilla@@QEAA@XZ
0xf97d7a0d,0xf97d7a0d,??1LZ4FrameCompressionContext@Compression@mozilla@@QAE@XZ
0x3239228e,0x3239228e,??1LZ4FrameCompressionContext@Compression@mozilla@@QEAA@XZ
0x1b24ff96,0x1b24ff96,??1LZ4FrameDecompressionContext@Compression@mozilla@@QAE@XZ
0x88d15937,0x88d15937,??1LZ4FrameDecompressionContext@Compression@mozilla@@QEAA@XZ
0xcb6425d7,0xcb6425d7,??1MutexImpl@detail@mozilla@@QAE@XZ
0x40f54798,0x40f54798,??1MutexImpl@detail@mozilla@@QEAA@XZ
0x2ff2b6bd,0x2ff2b6bd,??1ProfilingStack@baseprofiler@mozilla@@QAE@XZ
0x3755f53e,0x3755f53e,??1ProfilingStack@baseprofiler@mozilla@@QEAA@XZ
0x30d68653,0x30d68653,??1RLBoxSoundTouch@mozilla@@QEAA@XZ
0x3f1cd9d6,0x3f1cd9d6,??1RWLockImpl@detail@mozilla@@QAE@XZ
0xdcd3fe83,0xdcd3fe83,??1SoundTouch@soundtouch@@UAE@XZ
0x4e32aff8,0x4e32aff8,??1UniqueJSONStrings@baseprofiler@mozilla@@QAE@XZ
0x1d9515d9,0x1d9515d9,??1UniqueJSONStrings@baseprofiler@mozilla@@QEAA@XZ
0xdd95698c,0xdd95698c,??1__non_rtti_object@@UAE@XZ
0xd51b547c,0xd51b547c,??1bad_cast@@UAE@XZ
0xf37063c0,0xf37063c0,??1bad_typeid@@UAE@XZ
0x3ec47d5a,0x3ec47d5a,??1exception@@UAE@XZ
0xa767e098,0xa767e098,??1type_info@@UAE@XZ
0x6af66605,0x6af66605,??2@YAPAXI@Z
0xc10efcc,0x0c10efcc,??2@YAPAXIABUnothrow_t@std@@@Z
0x82ad4ed5,0x82ad4ed5,??3@YAXPAX@Z
0x3364ec9c,0x3364ec9c,??3@YAXPAXABUnothrow_t@std@@@Z
0xd8574cbe,0xd8574cbe,??3@YAXPAXI@Z
0x2d69fd04,0x2d69fd04,??4Decimal@blink@@QAEAAV01@ABV01@@Z
0x7bad896f,0x7bad896f,??4Decimal@blink@@QEAAAEAV01@AEBV01@@Z
0xa226f77d,0xa226f77d,??4SoundTouch@soundtouch@@QAEAAV01@ABV01@@Z
0xe6fc4e24,0xe6fc4e24,??4__non_rtti_object@@QAEAAV0@ABV0@@Z
0x696f47b4,0x696f47b4,??4bad_cast@@QAEAAV0@ABV0@@Z
0x231fa838,0x231fa838,??4bad_typeid@@QAEAAV0@ABV0@@Z
0x961276b2,0x961276b2,??4exception@@QAEAAV0@ABV0@@Z
0x58586ef4,0x58586ef4,??8AwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x76af7c93,0x76af7c93,??8AwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0x1829407d,0x1829407d,??8Decimal@blink@@QBE_NABV01@@Z
0x782cc3e3,0x782cc3e3,??8Decimal@blink@@QEBA_NAEBV01@@Z
0xf3ba1bf5,0xf3ba1bf5,??8type_info@@QBEHABV0@@Z
0x6b90a3f5,0x6b90a3f5,??9AwakeTimeDuration@mozilla@@QBE_NABV01@@Z
0x17b6e934,0x17b6e934,??9AwakeTimeStamp@mozilla@@QBE_NABV01@@Z
0xee452bfe,0xee452bfe,??9Decimal@blink@@QBE_NABV01@@Z
0x44f193a4,0x44f193a4,??9Decimal@blink@@QEBA_NAEBV01@@Z
0xbbefbab6,0xbbefbab6,??9type_info@@QBEHABV0@@Z
0xd69aefb3,0xd69aefb3,??DDecimal@blink@@QBE?AV01@ABV01@@Z
0x4cf163d9,0x4cf163d9,??DDecimal@blink@@QEBA?AV01@AEBV01@@Z
0x47ed5c2d,0x47ed5c2d,??GAwakeTimeDuration@mozilla@@QBE?AV01@ABV01@@Z
0xbb9a041a,0xbb9a041a,??GAwakeTimeStamp@mozilla@@QBE?AVAwakeTimeDuration@1@ABV01@@Z
0xa423bb6,0x0a423bb6,??GDecimal@blink@@QBE?AV01@ABV01@@Z
0x826f2954,0x826f2954,??GDecimal@blink@@QBE?AV01@XZ
0x79bbc9c,0x079bbc9c,??GDecimal@blink@@QEBA?AV01@AEBV01@@Z
0x6cc24c55,0x6cc24c55,??GDecimal@blink@@QEBA?AV01@XZ
0x36421533,0x36421533,??GTimeStampValue@mozilla@@QBE_KABV01@@Z
0x3c40a79,0x03c40a79,??GTimeStampValue@mozilla@@QEBA_KAEBV01@@Z
0xf64a29ae,0xf64a29ae,??HAwakeTimeDuration@mozilla@@QBE?AV01@ABV01@@Z
0xde51981b,0xde51981b,??HAwakeTimeStamp@mozilla@@QBE?AV01@ABVAwakeTimeDuration@1@@Z
0x1b79ffb7,0x1b79ffb7,??HDecimal@blink@@QBE?AV01@ABV01@@Z
0x45d484dd,0x45d484dd,??HDecimal@blink@@QEBA?AV01@AEBV01@@Z
0x4f214bba,0x4f214bba,??KDecimal@blink@@QBE?AV01@ABV01@@Z
