HASH,HASH_W_LEADING_ZEROS,API_NAME
0x4f7f5b05,0x4f7f5b05,$I10_OUTPUT
0x59455012,0x59455012,1-1-0.AddDllDirectory
0x243b77d2,0x243b77d2,1-1-0.CreateRemoteThreadEx
0x2d50cd63,0x2d50cd63,1-1-0.DeleteProc
0x86a49e64,0x86a49e64,1-1-0.GetLogical
0xa77c0112,0xa77c0112,1-1-0.I_Query
0x4a57b0b2,0x4a57b0b2,1-1-0.I_Sc
0xec09ebdd,0xec09ebdd,1-1-0.I_ScValidate
0x3fed25b4,0x3fed25b4,1-1-0.InitializeProcThreadAttributeList
0xe2ca6bb3,0xe2ca6bb3,1-1-0.OpenProcessToken
0xfea05728,0xfea05728,1-1-0.OpenThreadToken
0x5cd49cc9,0x5cd49cc9,1-1-0.RemoveDllDirectory
0x123c23e2,0x123c23e2,1-1-0.SetDefaultDllDirectories
0x4066324,0x04066324,1-1-0.SetThreadToken
0xaaca9416,0xaaca9416,1-1-0.SetWaitableTimerEx
0x685a9d2d,0x685a9d2d,1-1-0.UpdateProcThreadAttribute
0x7aa033c7,0x7aa033c7,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UTextMarker@mark
0x5c28c2b8,0x5c28c2b8,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x8c8558d4,0x8c8558d4,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UNoPayload@markers@01@@Z
0xb7291684,0xb7291684,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UNoPayload@markers@01@@Z
0xea931afe,0xea931afe,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$Q
