HASH,HASH_W_LEADING_ZEROS,API_NAME
0x13215234,0x13215234,$I10_OUTPUT
0x51b53939,0x51b53939,1-1-0.AddDllDirectory
0x19ce913f,0x19ce913f,1-1-0.CreateRemoteThreadEx
0x99bc5c02,0x99bc5c02,1-1-0.DeleteProc
0x1085bbdb,0x1085bbdb,1-1-0.GetLogical
0x6c3df292,0x6c3df292,1-1-0.I_Query
0x801dc065,0x801dc065,1-1-0.I_Sc
0x13a00eac,0x13a00eac,1-1-0.I_ScValidate
0x1a5810a,0x01a5810a,1-1-0.InitializeProcThreadAttributeList
0xfe4186f7,0xfe4186f7,1-1-0.OpenProcessToken
0x7aadf3db,0x7aadf3db,1-1-0.OpenThreadToken
0xf269de63,0xf269de63,1-1-0.RemoveDllDirectory
0xac5a72a9,0xac5a72a9,1-1-0.SetDefaultDllDirectories
0x9e5ccc1e,0x9e5ccc1e,1-1-0.SetThreadToken
0xe4007b9e,0xe4007b9e,1-1-0.SetWaitableTimerEx
0x6943f8e,0x06943f8e,1-1-0.UpdateProcThreadAttribute
0xd40d616d,0xd40d616d,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UTextMarker@mark
0x28195ad6,0x28195ad6,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x5d4c7de9,0x5d4c7de9,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UNoPayload@markers@01@@Z
0xde86bb86,0xde86bb86,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UNoPayload@markers@01@@Z
0xe2884549,0xe2884549,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$Q
0xd22c6708,0xd22c6708,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x3973b120,0x3973b120,??0AutoSuppressStackWalking@@QEAA@XZ
0xedd21504,0xedd21504,??0AwakeTimeDuration@mozilla@@QAE@XZ
0xabca1cc3,0xabca1cc3,??0ConditionVariableImpl@detail@mozilla@@QAE@XZ
0x9cc91d97,0x9cc91d97,??0ConditionVariableImpl@detail@mozilla@@QEAA@XZ
0xf8489067,0xf8489067,??0Decimal@blink@@QAE@ABV01@@Z
0xbc2c294c,0xbc2c294c,??0Decimal@blink@@QAE@ABVEncodedData@01@@Z
0xb981e826,0xb981e826,??0Decimal@blink@@QAE@H@Z
0xf693fec9,0xf693fec9,??0Decimal@blink@@QAE@W4Sign@01@H_K@Z
0xcfb1a4fc,0xcfb1a4fc,??0Decimal@blink@@QEAA@AEBV01@@Z
0x5fd6841b,0x5fd6841b,??0Decimal@blink@@QEAA@AEBVEncodedData@01@@Z
0x43196471,0x43196471,??0Decimal@blink@@QEAA@H@Z
0xf4284004,0xf4284004,??0Decimal@blink@@QEAA@W4Sign@01@H_K@Z
0xa8bb34d0,0xa8bb34d0,??0LZ4FrameCompressionContext@Compression@mozilla@@QAE@HI_N0@Z
0x5562e1ea,0x5562e1ea,??0LZ4FrameCompressionContext@Compression@mozilla@@QEAA@H_K_N1@Z
0x858a217e,0x858a217e,??0LZ4FrameDecompressionContext@Compression@mozilla@@QAE@_N@Z
0x7992956b,0x7992956b,??0LZ4FrameDecompressionContext@Compression@mozilla@@QEAA@_N@Z
0xc0753d20,0xc0753d20,??0MutexImpl@detail@mozilla@@QAE@XZ
0xa406f361,0xa406f361,??0MutexImpl@detail@mozilla@@QEAA@XZ
0x7d8c5f1c,0x7d8c5f1c,??0PrintfTarget@mozilla@@IAE@XZ
0xd197c4cc,0xd197c4cc,??0PrintfTarget@mozilla@@IEAA@XZ
0xdab7b075,0xdab7b075,??0RLBoxSoundTouch@mozilla@@QEAA@XZ
0x78127162,0x78127162,??0RWLockImpl@detail@mozilla@@QAE@XZ
0x8a9f874d,0x8a9f874d,??0SHA1Sum@mozilla@@QAE@XZ
0x55b038c0,0x55b038c0,??0SHA1Sum@mozilla@@QEAA@XZ
0x73113efb,0x73113efb,??0SoundTouch@soundtouch@@QAE@ABV01@@Z
0x47dfd7a6,0x47dfd7a6,??0SoundTouch@soundtouch@@QAE@XZ
0xb2884050,0xb2884050,??0TimeStampValue@mozilla@@AAE@_K0_N@Z
0xf8b8b0f,0x0f8b8b0f,??0TimeStampValue@mozilla@@AEAA@_K0_N1@Z
0x91a8de8d,0x91a8de8d,??0UniqueJSONStrings@baseprofiler@mozilla@@QAE@ABV012@VProgressLogger@2@W4CollectionStyle@JSONWriter@2@@Z
0x752b2826,0x752b2826,??0UniqueJSONStrings@baseprofiler@mozilla@@QAE@W4CollectionStyle@JSONWriter@2@@Z
0x4d554022,0x4d554022,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@AEBV012@W4CollectionStyle@JSONWriter@2@@Z
0xe992abfe,0xe992abfe,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@W4CollectionStyle@JSONWriter@2@@Z
0x1b7871b4,0x1b7871b4,??0__non_rtti_object@@QAE@ABV0@@Z
0x92e4d122,0x92e4d122,??0__non_rtti_object@@QAE@PBD@Z
0x241f6f1,0x0241f6f1,??0bad_cast@@AAE@PBQBD@Z
0x9e3aa71,0x09e3aa71,??0bad_cast@@QAE@ABQBD@Z
0x546a36b6,0x546a36b6,??0bad_cast@@QAE@ABV0@@Z
0x345851fb,0x345851fb,??0bad_cast@@QAE@PBD@Z
0x5ff6aab5,0x5ff6aab5,??0bad_typeid@@QAE@ABV0@@Z
0xdc454e9a,0xdc454e9a,??0bad_typeid@@QAE@PBD@Z
0x5e5a37ec,0x5e5a37ec,??0exception@@QAE@ABQBD@Z
0x3d3ab2b,0x03d3ab2b,??0exception@@QAE@ABV0@@Z
0xde64b3db,0xde64b3db,??0exception@@QAE@XZ
0xa3a0324f,0xa3a0324f,??1AutoSuppressStackWalking@@QEAA@XZ
0x27f2346b,0x27f2346b,??1ConditionVariableImpl@detail@mozilla@@QAE@XZ
0xf8e1ce1d,0xf8e1ce1d,??1ConditionVariableImpl@detail@mozilla@@QEAA@XZ
0x88e1c6a1,0x88e1c6a1,??1LZ4FrameCompressionContext@Compression@mozilla@@QAE@XZ
0x2273efae,0x2273efae,??1LZ4FrameCompressionContext@Compression@mozilla@@QEAA@XZ
0x39fa4188,0x39fa4188,??1LZ4FrameDecompressionContext@Compression@mozilla@@QAE@XZ
0x800b5667,0x800b5667,??1LZ4FrameDecompressionContext@Compression@mozilla@@QEAA@XZ
0x6b358a3e,0x6b358a3e,??1MutexImpl@detail@mozilla@@QAE@XZ
