HASH,HASH_W_LEADING_ZEROS,API_NAME
0x6226cabb,0x6226cabb,1-1-0.AddDllDirectory
0x85074a6d,0x85074a6d,1-1-0.CreateRemoteThreadEx
0x623cc287,0x623cc287,1-1-0.DeleteProc
0xeb05255e,0xeb05255e,1-1-0.GetLogical
0xce0057c5,0xce0057c5,1-1-0.I_Query
0xd2740652,0xd2740652,1-1-0.I_Sc
0x16fcf0e9,0x16fcf0e9,1-1-0.I_ScValidate
0x9193ab3d,0x9193ab3d,1-1-0.InitializeProcThreadAttributeList
0x2ce0f95e,0x2ce0f95e,1-1-0.OpenProcessToken
0x493e0059,0x493e0059,1-1-0.OpenThreadToken
0xb3c7a4d4,0xb3c7a4d4,1-1-0.RemoveDllDirectory
0xde86e91f,0xde86e91f,1-1-0.SetDefaultDllDirectories
0x6b6901cd,0x6b6901cd,1-1-0.SetThreadToken
0xa5ae0129,0xa5ae0129,1-1-0.SetWaitableTimerEx
0xab1a19e7,0xab1a19e7,1-1-0.UpdateProcThreadAttribute
0xf818a14,0x0f818a14,A_SHAFinal
0xb80025af,0xb80025af,A_SHAInit
0xe4972940,0xe4972940,A_SHAUpdate
0xfd1e8e04,0xfd1e8e04,AbortSystemShutdownA
0xab8918c6,0xab8918c6,AbortSystemShutdownW
0x6625b242,0x6625b242,AcceptEx
0xc97ef43d,0xc97ef43d,AccessCheck
0x28f9d9e4,0x28f9d9e4,AccessCheckAndAuditAlarmA
0x7e6e4f26,0x7e6e4f26,AccessCheckAndAuditAlarmW
0x18f7bb3e,0x18f7bb3e,AccessCheckByType
0x15b22cd4,0x15b22cd4,AccessCheckByTypeAndAuditAlarmA
0x4325ba16,0x4325ba16,AccessCheckByTypeAndAuditAlarmW
0xddf7c0c2,0xddf7c0c2,AccessCheckByTypeResultList
0x5c4a4ea7,0x5c4a4ea7,AccessCheckByTypeResultListAndAuditAlarm
0x8665bae8,0x8665bae8,AccessCheckByTypeResultListAndAuditAlarmA
0xd0f22c2a,0xd0f22c2a,AccessCheckByTypeResultListAndAuditAlarmW
0x9f613fd4,0x9f613fd4,AcquireSRWLockExclusive
0x582db598,0x582db598,AcquireSRWLockShared
0x29782121,0x29782121,ActivateActCtx
0x8218ec65,0x8218ec65,ActivateKeyboardLayout
0xc50d733c,0xc50d733c,ActivityIdControl
0xd34d6751,0xd34d6751,AddAccessAllowedAce
0xb4c6d7b4,0xb4c6d7b4,AddAccessAllowedAceEx
0x642889ca,0x642889ca,AddAccessAllowedObjectAce
0xf4b3c557,0xf4b3c557,AddAccessDeniedAce
0xb49ac2eb,0xb49ac2eb,AddAccessDeniedAceEx
0xc19adb82,0xc19adb82,AddAccessDeniedObjectAce
0xe2eda40e,0xe2eda40e,AddAce
0x662f6b80,0x662f6b80,AddAtomA
0x30b8fd42,0x30b8fd42,AddAtomW
0x9b6bbae9,0x9b6bbae9,AddAuditAccessAce
0x20d503f8,0x20d503f8,AddAuditAccessAceEx
0xc1f90df5,0xc1f90df5,AddAuditAccessObjectAce
0xa3e059e0,0xa3e059e0,AddClipboardFormatListener
0x9fb65707,0x9fb65707,AddConditionalAce
0x9f35f6e3,0x9f35f6e3,AddConsoleAliasA
0xc9a26021,0xc9a26021,AddConsoleAliasW
0x1217d5c5,0x1217d5c5,AddDllDirectory
0xcea15968,0xcea15968,AddIntegrityLabelToBoundaryDescriptor
0xd87ee496,0xd87ee496,AddLocalAlternateComputerNameA
0x8ee97254,0x8ee97254,AddLocalAlternateComputerNameW
0x5088d167,0x5088d167,AddMandatoryAce
0x800b314b,0x800b314b,AddRefActCtx
0x2cfa55d8,0x2cfa55d8,AddSIDToBoundaryDescriptor
0x92d61b5,0x092d61b5,AddSecureMemoryCacheCallback
0xc1b59e71,0xc1b59e71,AddUsersToEncryptedFile
0x52f5c219,0x52f5c219,AddUsersToEncryptedFileEx
0x86440d30,0x86440d30,AddVectoredContinueHandler
0x3e4b1b7b,0x3e4b1b7b,AddVectoredExceptionHandler
0xee71023c,0xee71023c,AdjustCalendarDate
0x978f2d8d,0x978f2d8d,AdjustTokenGroups
0xb6bf3398,0xb6bf3398,AdjustTokenPrivileges
0x46f1c346,0x46f1c346,AdjustWindowRect
0x9d036250,0x9d036250,AdjustWindowRectEx
0x15a3b8b3,0x15a3b8b3,AlignRects
0x17611e89,0x17611e89,AllocConsole
0x1dd5e26,0x01dd5e26,AllocateAndInitializeSid
0x12410673,0x12410673,AllocateLocallyUniqueId
0x386bc5fa,0x386bc5fa,AllocateUserPhysicalPages
0x86c2b730,0x86c2b730,AllocateUserPhysicalPagesNuma
0xec13942d,0xec13942d,AllowForegroundActivation
0x29ee7d60,0x29ee7d60,AllowSetForegroundWindow
0xa6b7dd48,0xa6b7dd48,AlpcAdjustCompletionListConcurrencyCount
0x3639b1d3,0x3639b1d3,AlpcFreeCompletionListMessage
0x332e4448,0x332e4448,AlpcGetCompletionListLastMessageInformation
0x29774a70,0x29774a70,AlpcGetCompletionListMessageAttributes
0x54167c4b,0x54167c4b,AlpcGetHeaderSize
0x5274260e,0x5274260e,AlpcGetMessageAttribute
0xe90497b7,0xe90497b7,AlpcGetMessageFromCompletionList
0x5c5e7687,0x5c5e7687,AlpcGetOutstandingCompletionListMessageCount
0x9b0e467b,0x9b0e467b,AlpcInitializeMessageAttribute
0x60d5a22d,0x60d5a22d,AlpcMaxAllowedMessageLength
0x3133e36,0x03133e36,AlpcRegisterCompletionList
0x8b59b07,0x08b59b07,AlpcRegisterCompletionListWorkerThread
0x85a4ab1d,0x85a4ab1d,AlpcRundownCompletionList
0xdcd472e7,0xdcd472e7,AlpcUnregisterCompletionList
0xdc77e8c7,0xdc77e8c7,AlpcUnregisterCompletionListWorkerThread
0x60e9b3e,0x060e9b3e,AnimateWindow
0xf3eac236,0xf3eac236,AnyPopup
0xe6ce6e83,0xe6ce6e83,AppCacheCheckManifest
0x9570571b,0x9570571b,AppCacheCloseHandle
0x5dc9fc26,0x5dc9fc26,AppCacheDeleteGroup
0xe64fff99,0xe64fff99,AppCacheDeleteIEGroup
0xe4f091fe,0xe4f091fe,AppCacheDuplicateHandle
0x31789c1b,0x31789c1b,AppCacheFinalize
0xcc0b0601,0xcc0b0601,AppCacheFreeDownloadList
0x54c1ae4,0x054c1ae4,AppCacheFreeGroupList
0x2f580c20,0x2f580c20,AppCacheFreeIESpace
0x7eb63289,0x7eb63289,AppCacheFreeSpace
0x746527b6,0x746527b6,AppCacheGetDownloadList
0xebe2cc05,0xebe2cc05,AppCacheGetFallbackUrl
0xaeb2f4e2,0xaeb2f4e2,AppCacheGetGroupList
0xd96e18d3,0xd96e18d3,AppCacheGetIEGroupList
0x82fa46ca,0x82fa46ca,AppCacheGetInfo
0x23400006,0x23400006,AppCacheGetManifestUrl
0x90169eb6,0x90169eb6,AppCacheLookup
0x7f9d77eb,0x7f9d77eb,AppCompat_RunDLLW
0x144cd49,0x0144cd49,AppendMenuA
0x57d35b8b,0x57d35b8b,AppendMenuW
0xf6b1efb8,0xf6b1efb8,ApplicationRecoveryFinished
0x147f88a7,0x147f88a7,ApplicationRecoveryInProgress
0xf1c3b606,0xf1c3b606,AreAllAccessesGranted
0xbdf55fa0,0xbdf55fa0,AreAnyAccessesGranted
0x59c660d2,0x59c660d2,AreFileApisANSI
0xd895a5d4,0xd895a5d4,ArrangeIconicWindows
0xdf8d7cf8,0xdf8d7cf8,AssignProcessToJobObject
0x45183be6,0x45183be6,AssocCreateForClasses
0x1b6bcc40,0x1b6bcc40,AssocGetDetailsOfPropKey
0x6f1578a4,0x6f1578a4,AsyncIoOperation
0x63325f97,0x63325f97,AttachConsole
0x39a39fb0,0x39a39fb0,AttachThreadInput
0x7e642395,0x7e642395,AuditComputeEffectivePolicyBySid
0x93e72665,0x93e72665,AuditComputeEffectivePolicyByToken
0xfb25adc2,0xfb25adc2,AuditEnumerateCategories
0xf1571aa7,0xf1571aa7,AuditEnumeratePerUserPolicy
0xc38e8990,0xc38e8990,AuditEnumerateSubCategories
0x5222887a,0x5222887a,AuditFree
0xe9364bcd,0xe9364bcd,AuditLookupCategoryGuidFromCategoryId
0x74717fb6,0x74717fb6,AuditLookupCategoryIdFromCategoryGuid
0xb7aa9d3d,0xb7aa9d3d,AuditLookupCategoryNameA
0xe13d0bff,0xe13d0bff,AuditLookupCategoryNameW
0x7b73cd3,0x07b73cd3,AuditLookupSubCategoryNameA
0x5120aa11,0x5120aa11,AuditLookupSubCategoryNameW
0xe97332cb,0xe97332cb,AuditQueryGlobalSaclA
0xbfe4a409,0xbfe4a409,AuditQueryGlobalSaclW
0xd6cfc87c,0xd6cfc87c,AuditQueryPerUserPolicy
0x8d632518,0x8d632518,AuditQuerySecurity
0x195d82ca,0x195d82ca,AuditQuerySystemPolicy
0xff0fba46,0xff0fba46,AuditSetGlobalSaclA
0xa9982c84,0xa9982c84,AuditSetGlobalSaclW
0x7e7d6a4a,0x7e7d6a4a,AuditSetPerUserPolicy
0xdc3711b7,0xdc3711b7,AuditSetSecurity
0x33429908,0x33429908,AuditSetSystemPolicy
0x4089acd0,0x4089acd0,BackupEventLogA
0x161e3a12,0x161e3a12,BackupEventLogW
0xeaa670ac,0xeaa670ac,BackupRead
0x4ba0760f,0x4ba0760f,BackupSeek
0x421ccf15,0x421ccf15,BackupWrite
0xa7facfa0,0xa7facfa0,BaseCheckAppcompatCache
0x8bdeea1f,0x8bdeea1f,BaseCheckAppcompatCacheEx
0x84743cbb,0x84743cbb,BaseCheckRunApp
0xeb391f67,0xeb391f67,BaseCleanupAppcompatCacheSupport
0xd2591b10,0xd2591b10,BaseDllReadWriteIniFile
0xa45a83ff,0xa45a83ff,BaseDumpAppcompatCache
0x6148faaf,0x6148faaf,BaseFlushAppcompatCache
0x5c1facf5,0x5c1facf5,BaseFormatObjectAttributes
0xc9dafc00,0xc9dafc00,BaseFormatTimeOut
0xae6b6b3c,0xae6b6b3c,BaseGenerateAppCompatData
0xe28f7163,0xe28f7163,BaseGetNamedObjectDirectory
0xe436363c,0xe436363c,BaseInitAppcompatCacheSupport
0x7b5eabc2,0x7b5eabc2,BaseIsAppcompatInfrastructureDisabled
0xc32c50db,0xc32c50db,BaseQueryModuleData
0x3ae8386f,0x3ae8386f,BaseSetLastNTError
0xe0cf152,0x0e0cf152,BaseThreadInitThunk
0x7f23d478,0x7f23d478,BaseUpdateAppcompatCache
0xfb6aa1a1,0xfb6aa1a1,BaseVerifyUnicodeString
0x9e271a95,0x9e271a95,Basep8BitStringToDynamicUnicodeString
0x2ef50f0a,0x2ef50f0a,BasepAllocateActivationContextActivationBlock
0x534d757a,0x534d757a,BasepAnsiStringToDynamicUnicodeString
0xae9b6d31,0xae9b6d31,BasepCheckAppCompat
0x2bafcfa2,0x2bafcfa2,BasepCheckBadapp
0x700a847e,0x700a847e,BasepCheckWinSaferRestrictions
0xa674752f,0xa674752f,BasepFreeActivationContextActivationBlock
0xfb4b12a9,0xfb4b12a9,BasepFreeAppCompatData
0xcf635108,0xcf635108,BasepMapModuleHandle
0x8b8f826d,0x8b8f826d,Beep
0x5b2b7510,0x5b2b7510,BeginDeferWindowPos
0xf624589e,0xf624589e,BeginPaint
0x69f35b07,0x69f35b07,BeginUpdateResourceA
0x3f64cdc5,0x3f64cdc5,BeginUpdateResourceW
0xe1f3e2df,0xe1f3e2df,BindIoCompletionCallback
0x7334a45d,0x7334a45d,BindMoniker
0x50ce3014,0x50ce3014,BlockInput
0x82a44308,0x82a44308,BoundaryDescriptor
0x9cc5fae7,0x9cc5fae7,BringWindowToTop
0x412ec27d,0x412ec27d,BroadcastSystemMessage
0x9f353d4b,0x9f353d4b,BroadcastSystemMessageA
0xc2d4880b,0xc2d4880b,BroadcastSystemMessageExA
0x94431ec9,0x94431ec9,BroadcastSystemMessageExW
0xc9a2ab89,0xc9a2ab89,BroadcastSystemMessageW
0x70670975,0x70670975,BuildCommDCBA
0x3f9b65a8,0x3f9b65a8,BuildCommDCBAndTimeoutsA
0x690cf36a,0x690cf36a,BuildCommDCBAndTimeoutsW
0x26f09fb7,0x26f09fb7,BuildCommDCBW
0x65a57062,0x65a57062,BuildExplicitAccessWithNameA
0x3332e6a0,0x3332e6a0,BuildExplicitAccessWithNameW
0x60fe753c,0x60fe753c,BuildImpersonateExplicitAccessWithNameA
0x3669e3fe,0x3669e3fe,BuildImpersonateExplicitAccessWithNameW
0x52715817,0x52715817,BuildImpersonateTrusteeA
0x4e6ced5,0x04e6ced5,BuildImpersonateTrusteeW
0x5eb983e5,0x5eb983e5,BuildReasonArray
0x28cbad40,0x28cbad40,BuildSecurityDescriptorA
0x7e5c3b82,0x7e5c3b82,BuildSecurityDescriptorW
0xc6a7dafe,0xc6a7dafe,BuildTrusteeWithNameA
0x90304c3c,0x90304c3c,BuildTrusteeWithNameW
0x352ef0e1,0x352ef0e1,BuildTrusteeWithObjectsAndNameA
0x63b96623,0x63b96623,BuildTrusteeWithObjectsAndNameW
0x47864e61,0x47864e61,BuildTrusteeWithObjectsAndSidA
0x1111d8a3,0x1111d8a3,BuildTrusteeWithObjectsAndSidW
0xfce3b20d,0xfce3b20d,BuildTrusteeWithSidA
0xaa7424cf,0xaa7424cf,BuildTrusteeWithSidW
0x856eaa5c,0x856eaa5c,ByHandleA
0xd3f93c9e,0xd3f93c9e,ByHandleW
0x78b4120f,0x78b4120f,CDefFolderMenu_Create2
0x3037fa58,0x3037fa58,CIDLData_CreateFromIDArray
0xc267b96b,0xc267b96b,CLIPFORMAT_UserFree
0x85eb2e14,0x85eb2e14,CLIPFORMAT_UserFree64
0xb3d7b65d,0xb3d7b65d,CLIPFORMAT_UserFreeExt
0xef8291a6,0xef8291a6,CLIPFORMAT_UserMarshal
0x429cf607,0x429cf607,CLIPFORMAT_UserMarshal64
0x87c265c1,0x87c265c1,CLIPFORMAT_UserMarshalExt
0x291bbd80,0x291bbd80,CLIPFORMAT_UserSize
0x4f7236e4,0x4f7236e4,CLIPFORMAT_UserSize64
0x58cf0012,0x58cf0012,CLIPFORMAT_UserSizeExt
0xe7065f17,0xe7065f17,CLIPFORMAT_UserUnmarshal
0x7c6d2367,0x7c6d2367,CLIPFORMAT_UserUnmarshal64
0x9eabc85b,0x9eabc85b,CLIPFORMAT_UserUnmarshalExt
0xb961a5db,0xb961a5db,CLSIDFromOle1Class
0x3b828fff,0x3b828fff,CLSIDFromProgID
0x508c3b30,0x508c3b30,CLSIDFromProgIDEx
0x3ae8607c,0x3ae8607c,CLSIDFromString
0x9959ef43,0x9959ef43,COMBASE.#110
0x9d98f2f4,0x9d98f2f4,COMBASE.#111
0x90dbd42d,0x90dbd42d,COMBASE.#112
0xf64fa5ac,0xf64fa5ac,COMBASE.CoDecodeProxy
0x1c067fdf,0x1c067fdf,COMBASE.DcomChannelSetHResult
0xfe4e1585,0xfe4e1585,COMBASE.NdrProxyForwardingFunction10
0xfa8f0832,0xfa8f0832,COMBASE.NdrProxyForwardingFunction11
0xf7cc2eeb,0xf7cc2eeb,COMBASE.NdrProxyForwardingFunction12
0xf30d335c,0xf30d335c,COMBASE.NdrProxyForwardingFunction13
0xed4a6359,0xed4a6359,COMBASE.NdrProxyForwardingFunction14
0xe98b7eee,0xe98b7eee,COMBASE.NdrProxyForwardingFunction15
0xe4c85837,0xe4c85837,COMBASE.NdrProxyForwardingFunction16
0xe0094580,0xe0094580,COMBASE.NdrProxyForwardingFunction17
0xd846f83d,0xd846f83d,COMBASE.NdrProxyForwardingFunction18
0xdc87e58a,0xdc87e58a,COMBASE.NdrProxyForwardingFunction19
0x8ca54a56,0x8ca54a56,COMBASE.NdrProxyForwardingFunction20
0x886457e1,0x886457e1,COMBASE.NdrProxyForwardingFunction21
0x85277138,0x85277138,COMBASE.NdrProxyForwardingFunction22
0x81e66c8f,0x81e66c8f,COMBASE.NdrProxyForwardingFunction23
0x9fa13c8a,0x9fa13c8a,COMBASE.NdrProxyForwardingFunction24
0x9b60213d,0x9b60213d,COMBASE.NdrProxyForwardingFunction25
0x962307e4,0x962307e4,COMBASE.NdrProxyForwardingFunction26
0x92e21a53,0x92e21a53,COMBASE.NdrProxyForwardingFunction27
0xaaada7ee,0xaaada7ee,COMBASE.NdrProxyForwardingFunction28
0xae6cba59,0xae6cba59,COMBASE.NdrProxyForwardingFunction29
0xd80cea00,0xd80cea00,COMBASE.NdrProxyForwardingFunction3
0x5ebc8b8a,0x5ebc8b8a,COMBASE.NdrProxyForwardingFunction30
0x5a7d963d,0x5a7d963d,COMBASE.NdrProxyForwardingFunction31
0x573eb0e4,0x573eb0e4,COMBASE.NdrProxyForwardingFunction32
0xc64bba05,0xc64bba05,COMBASE.NdrProxyForwardingFunction4
0xc28aa7b2,0xc28aa7b2,COMBASE.NdrProxyForwardingFunction5
0xcfc9816b,0xcfc9816b,COMBASE.NdrProxyForwardingFunction6
0xcb089cdc,0xcb089cdc,COMBASE.NdrProxyForwardingFunction7
0xf3472161,0xf3472161,COMBASE.NdrProxyForwardingFunction8
0xf7863cd6,0xf7863cd6,COMBASE.NdrProxyForwardingFunction9
0x2c409f58,0x2c409f58,COMBASE.ObjectStublessClient10
0x288182ef,0x288182ef,COMBASE.ObjectStublessClient11
0x25c2a436,0x25c2a436,COMBASE.ObjectStublessClient12
0x2103b981,0x2103b981,COMBASE.ObjectStublessClient13
0x3f44e984,0x3f44e984,COMBASE.ObjectStublessClient14
0x3b85f433,0x3b85f433,COMBASE.ObjectStublessClient15
0x36c6d2ea,0x36c6d2ea,COMBASE.ObjectStublessClient16
0x3207cf5d,0x3207cf5d,COMBASE.ObjectStublessClient17
0xa4872e0,0x0a4872e0,COMBASE.ObjectStublessClient18
0xe896f57,0x0e896f57,COMBASE.ObjectStublessClient19
0x5eabc08b,0x5eabc08b,COMBASE.ObjectStublessClient20
0x5a6add3c,0x5a6add3c,COMBASE.ObjectStublessClient21
0x5729fbe5,0x5729fbe5,COMBASE.ObjectStublessClient22
0x53e8e652,0x53e8e652,COMBASE.ObjectStublessClient23
0x4dafb657,0x4dafb657,COMBASE.ObjectStublessClient24
0x496eabe0,0x496eabe0,COMBASE.ObjectStublessClient25
0x442d8d39,0x442d8d39,COMBASE.ObjectStublessClient26
0x40ec908e,0x40ec908e,COMBASE.ObjectStublessClient27
0x78a32d33,0x78a32d33,COMBASE.ObjectStublessClient28
0x7c623084,0x7c623084,COMBASE.ObjectStublessClient29
0x751e065a,0x751e065a,COMBASE.ObjectStublessClient3
0x8cb20157,0x8cb20157,COMBASE.ObjectStublessClient30
0x88731ce0,0x88731ce0,COMBASE.ObjectStublessClient31
0x85303a39,0x85303a39,COMBASE.ObjectStublessClient32
0x6b59565f,0x6b59565f,COMBASE.ObjectStublessClient4
0x6f984be8,0x6f984be8,COMBASE.ObjectStublessClient5
0x62db6d31,0x62db6d31,COMBASE.ObjectStublessClient6
0x661a7086,0x661a7086,COMBASE.ObjectStublessClient7
0x5e55cd3b,0x5e55cd3b,COMBASE.ObjectStublessClient8
0x5a94d08c,0x5a94d08c,COMBASE.ObjectStublessClient9
0xcd730c27,0xcd730c27,COMBASE.WdtpInterfacePointer_UserFree
0xd235be90,0xd235be90,COMBASE.WdtpInterfacePointer_UserFree64
0x57c2eea4,0x57c2eea4,COMBASE.WdtpInterfacePointer_UserMarshal
0x312eb08f,0x312eb08f,COMBASE.WdtpInterfacePointer_UserMarshal64
0x260f08cc,0x260f08cc,COMBASE.WdtpInterfacePointer_UserSize
0x18aca660,0x18aca660,COMBASE.WdtpInterfacePointer_UserSize64
0x94b4199f,0x94b4199f,COMBASE.WdtpInterfacePointer_UserUnmarshal
0x8d060bdd,0x8d060bdd,COMBASE.WdtpInterfacePointer_UserUnmarshal64
0x2c5f7567,0x2c5f7567,CalcMenuBar
0xfcfbab5c,0xfcfbab5c,CalculatePopupWindowPosition
0xbb2430e,0x0bb2430e,CallMsgFilter
0x18b8e8ea,0x18b8e8ea,CallMsgFilterA
0x4e2f7e28,0x4e2f7e28,CallMsgFilterW
0x9b41283,0x09b41283,CallNamedPipeA
0x5f238441,0x5f238441,CallNamedPipeW
0xcac67ddd,0xcac67ddd,CallNextHookEx
0xb8313bab,0xb8313bab,CallWindowProcA
0xeea6ad69,0xeea6ad69,CallWindowProcW
0x2b0e6349,0x2b0e6349,Callback
0xa64b3499,0xa64b3499,CallbackMayRunLong
0xacaeac73,0xacaeac73,CancelDeviceWakeupRequest
0x8a177ae2,0x8a177ae2,CancelIo
0xf72edfb4,0xf72edfb4,CancelIoEx
0xf3cc4f10,0xf3cc4f10,CancelOverlappedAccess
0xf0a9e304,0xf0a9e304,CancelShutdown
0xcaa3e4db,0xcaa3e4db,CancelSynchronousIo
0xbec51d44,0xbec51d44,CancelThreadpoolIo
0xfa3c7a57,0xfa3c7a57,CancelTimerQueueTimer
