HASH,HASH_W_LEADING_ZEROS,API_NAME
0xdb930dda,0xdb930dda,$I10_OUTPUT
0x4412157d,0x4412157d,1-1-0.AddDllDirectory
0x60f10c67,0x60f10c67,1-1-0.CreateRemoteThreadEx
0x71e03952,0x71e03952,1-1-0.DeleteProc
0xe2863bcb,0xe2863bcb,1-1-0.GetLogical
0xcd9ae34e,0xcd9ae34e,1-1-0.I_Query
0x4e5239bc,0x4e5239bc,1-1-0.I_Sc
0xa1433cbf,0xa1433cbf,1-1-0.I_ScValidate
0x4a06e3e9,0x4a06e3e9,1-1-0.InitializeProcThreadAttributeList
0x269de36e,0x269de36e,1-1-0.OpenProcessToken
0xe003ba24,0xe003ba24,1-1-0.OpenThreadToken
0xca3d3ce2,0xca3d3ce2,1-1-0.RemoveDllDirectory
0x50a7653b,0x50a7653b,1-1-0.SetDefaultDllDirectories
0x70a0fcf6,0x70a0fcf6,1-1-0.SetThreadToken
0x54ee64c1,0x54ee64c1,1-1-0.SetWaitableTimerEx
0xd51a6afc,0xd51a6afc,1-1-0.UpdateProcThreadAttribute
0xee11c5a9,0xee11c5a9,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UTextMarker@mark
0xe0731726,0xe0731726,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x9f3d45e0,0x9f3d45e0,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UNoPayload@markers@01@@Z
0xca821bfb,0xca821bfb,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UNoPayload@markers@01@@Z
0x80fd3966,0x80fd3966,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$Q
0x48c3bbc9,0x48c3bbc9,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x626ce17f,0x626ce17f,??0AutoSuppressStackWalking@@QEAA@XZ
0x24fed020,0x24fed020,??0AwakeTimeDuration@mozilla@@QAE@XZ
0x6e81a126,0x6e81a126,??0ConditionVariableImpl@detail@mozilla@@QAE@XZ
0x7d7140c2,0x7d7140c2,??0ConditionVariableImpl@detail@mozilla@@QEAA@XZ
0xf2c6f9db,0xf2c6f9db,??0Decimal@blink@@QAE@ABV01@@Z
0x24772ccc,0x24772ccc,??0Decimal@blink@@QAE@ABVEncodedData@01@@Z
0xa4ea31f3,0xa4ea31f3,??0Decimal@blink@@QAE@H@Z
0xf9dac6c8,0xf9dac6c8,??0Decimal@blink@@QAE@W4Sign@01@H_K@Z
0xef1f51d0,0xef1f51d0,??0Decimal@blink@@QEAA@AEBV01@@Z
0xe0d0d26a,0xe0d0d26a,??0Decimal@blink@@QEAA@AEBVEncodedData@01@@Z
0x5498d2c9,0x5498d2c9,??0Decimal@blink@@QEAA@H@Z
0xdd594b34,0xdd594b34,??0Decimal@blink@@QEAA@W4Sign@01@H_K@Z
0x88ba9e26,0x88ba9e26,??0LZ4FrameCompressionContext@Compression@mozilla@@QAE@HI_N0@Z
0x2aeaf355,0x2aeaf355,??0LZ4FrameCompressionContext@Compression@mozilla@@QEAA@H_K_N1@Z
0x59bec135,0x59bec135,??0LZ4FrameDecompressionContext@Compression@mozilla@@QAE@_N@Z
0x4a933b1,0x04a933b1,??0LZ4FrameDecompressionContext@Compression@mozilla@@QEAA@_N@Z
0x38ffb28f,0x38ffb28f,??0MutexImpl@detail@mozilla@@QAE@XZ
0xd22d259d,0xd22d259d,??0MutexImpl@detail@mozilla@@QEAA@XZ
0xba0bf85b,0xba0bf85b,??0PrintfTarget@mozilla@@IAE@XZ
0x5311c71a,0x5311c71a,??0PrintfTarget@mozilla@@IEAA@XZ
0x99a83ca4,0x99a83ca4,??0RLBoxSoundTouch@mozilla@@QEAA@XZ
0x894a1680,0x894a1680,??0RWLockImpl@detail@mozilla@@QAE@XZ
0x87bced63,0x87bced63,??0SHA1Sum@mozilla@@QAE@XZ
0x7b2ec891,0x7b2ec891,??0SHA1Sum@mozilla@@QEAA@XZ
0x90a96e49,0x90a96e49,??0SoundTouch@soundtouch@@QAE@ABV01@@Z
0x4c1947e3,0x4c1947e3,??0SoundTouch@soundtouch@@QAE@XZ
0xd95759e6,0xd95759e6,??0TimeStampValue@mozilla@@AAE@_K0_N@Z
0x1908c451,0x1908c451,??0TimeStampValue@mozilla@@AEAA@_K0_N1@Z
0x2c7cfd92,0x2c7cfd92,??0UniqueJSONStrings@baseprofiler@mozilla@@QAE@ABV012@VProgressLogger@2@W4CollectionStyle@JSONWriter@2@@Z
0xb3045dae,0xb3045dae,??0UniqueJSONStrings@baseprofiler@mozilla@@QAE@W4CollectionStyle@JSONWriter@2@@Z
0xc342b626,0xc342b626,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@AEBV012@W4CollectionStyle@JSONWriter@2@@Z
0x61db0568,0x61db0568,??0UniqueJSONStrings@baseprofiler@mozilla@@QEAA@W4CollectionStyle@JSONWriter@2@@Z
0x45cb6738,0x45cb6738,??0__non_rtti_object@@QAE@ABV0@@Z
0xcf8d1393,0xcf8d1393,??0__non_rtti_object@@QAE@PBD@Z
0xe4ae0607,0xe4ae0607,??0bad_cast@@AAE@PBQBD@Z
0x8bf155b6,0x8bf155b6,??0bad_cast@@QAE@ABQBD@Z
0xffee496d,0xffee496d,??0bad_cast@@QAE@ABV0@@Z
0xd819b0c4,0xd819b0c4,??0bad_cast@@QAE@PBD@Z
0xd9c4cd68,0xd9c4cd68,??0bad_typeid@@QAE@ABV0@@Z
0xd5c1c8d6,0xd5c1c8d6,??0bad_typeid@@QAE@PBD@Z
0x58a88834,0x58a88834,??0exception@@QAE@ABQBD@Z
0x2cb794ef,0x2cb794ef,??0exception@@QAE@ABV0@@Z
0x14f84a4f,0x14f84a4f,??0exception@@QAE@XZ
0x46eeb049,0x46eeb049,??1AutoSuppressStackWalking@@QEAA@XZ
0xcd17896a,0xcd17896a,??1ConditionVariableImpl@detail@mozilla@@QAE@XZ
0x2b8db51,0x02b8db51,??1ConditionVariableImpl@detail@mozilla@@QEAA@XZ
0xe345dd4,0x0e345dd4,??1LZ4FrameCompressionContext@Compression@mozilla@@QAE@XZ
0x2ea2660e,0x2ea2660e,??1LZ4FrameCompressionContext@Compression@mozilla@@QEAA@XZ
0xb99aea7b,0xb99aea7b,??1LZ4FrameDecompressionContext@Compression@mozilla@@QAE@XZ
0x687c76c0,0x687c76c0,??1LZ4FrameDecompressionContext@Compression@mozilla@@QEAA@XZ
0xe0d227c,0x0e0d227c,??1MutexImpl@detail@mozilla@@QAE@XZ
0xf6af74ab,0xf6af74ab,??1MutexImpl@detail@mozilla@@QEAA@XZ
