HASH,HASH_W_LEADING_ZEROS,API_NAME
0x561772b8,0x561772b8,1-1-0.AddDllDirectory
0xdb9b6240,0xdb9b6240,1-1-0.CreateRemoteThreadEx
0x9e8f95bc,0x9e8f95bc,1-1-0.DeleteProc
0x62660187,0x62660187,1-1-0.GetLogical
0xc3e6f5d6,0xc3e6f5d6,1-1-0.I_Query
0x7be4b220,0x7be4b220,1-1-0.I_Sc
0xf5986c1,0x0f5986c1,1-1-0.I_ScValidate
0x15cc7c8b,0x15cc7c8b,1-1-0.InitializeProcThreadAttributeList
0xe8526cef,0xe8526cef,1-1-0.OpenProcessToken
0x2f9b2469,0x2f9b2469,1-1-0.OpenThreadToken
0xdbbdd89,0x0dbbdd89,1-1-0.RemoveDllDirectory
0x72414996,0x72414996,1-1-0.SetDefaultDllDirectories
0xfa9924fd,0xfa9924fd,1-1-0.SetThreadToken
0xdb54ff51,0xdb54ff51,1-1-0.SetWaitableTimerEx
0x4984ee09,0x4984ee09,1-1-0.UpdateProcThreadAttribute
0x39d6a4a,0x039d6a4a,A_SHAFinal
0x5b524237,0x5b524237,A_SHAInit
0x7cc4b245,0x7cc4b245,A_SHAUpdate
0xfd54490d,0xfd54490d,AbortSystemShutdownA
0x980fc5c,0x0980fc5c,AbortSystemShutdownW
0x621caa01,0x621caa01,AcceptEx
0x9772ba0e,0x9772ba0e,AccessCheck
0x87f720c8,0x87f720c8,AccessCheckAndAuditAlarmA
0x73239599,0x73239599,AccessCheckAndAuditAlarmW
0xf4b1b2de,0xf4b1b2de,AccessCheckByType
0x97802d03,0x97802d03,AccessCheckByTypeAndAuditAlarmA
0x63549852,0x63549852,AccessCheckByTypeAndAuditAlarmW
0x2082a1ff,0x2082a1ff,AccessCheckByTypeResultList
0xaf82541e,0xaf82541e,AccessCheckByTypeResultListAndAuditAlarm
0x12170174,0x12170174,AccessCheckByTypeResultListAndAuditAlarmA
0xe6c3b425,0xe6c3b425,AccessCheckByTypeResultListAndAuditAlarmW
0x267010cb,0x267010cb,AcquireSRWLockExclusive
0x5c1e4db0,0x5c1e4db0,AcquireSRWLockShared
0x9825f902,0x9825f902,ActivateActCtx
0x885c3e4d,0x885c3e4d,ActivateKeyboardLayout
0xbc158b4b,0xbc158b4b,ActivityIdControl
0x2e9216eb,0x2e9216eb,AddAccessAllowedAce
0x4ed3c5f7,0x4ed3c5f7,AddAccessAllowedAceEx
0xadb069fb,0xadb069fb,AddAccessAllowedObjectAce
0x426d10b5,0x426d10b5,AddAccessDeniedAce
0x83887ce7,0x83887ce7,AddAccessDeniedAceEx
0x8bbcc169,0x8bbcc169,AddAccessDeniedObjectAce
0x9081c021,0x9081c021,AddAce
0x7c9dfbf9,0x7c9dfbf9,AddAtomA
0x88494ea8,0x88494ea8,AddAtomW
0x5b069477,0x5b069477,AddAuditAccessAce
0x90919779,0x90919779,AddAuditAccessAceEx
0x6c2a8079,0x6c2a8079,AddAuditAccessObjectAce
0x8544982f,0x8544982f,AddClipboardFormatListener
0xf693d72,0x0f693d72,AddConditionalAce
0xa3640da8,0xa3640da8,AddConsoleAliasA
0x57b0b8f9,0x57b0b8f9,AddConsoleAliasW
0x6d1dca14,0x6d1dca14,AddDllDirectory
0xd293fde,0x0d293fde,AddIntegrityLabelToBoundaryDescriptor
0x2de30f8,0x02de30f8,AddLocalAlternateComputerNameA
0xf60a85a9,0xf60a85a9,AddLocalAlternateComputerNameW
0xccd754ec,0xccd754ec,AddMandatoryAce
0xf8604dc7,0xf8604dc7,AddRefActCtx
0xb0bad974,0xb0bad974,AddSIDToBoundaryDescriptor
0xe9c5ae64,0xe9c5ae64,AddSecureMemoryCacheCallback
0x35e08867,0x35e08867,AddUsersToEncryptedFile
0xce52b781,0xce52b781,AddUsersToEncryptedFileEx
0x252fb89b,0x252fb89b,AddVectoredContinueHandler
0xbcbbd50,0x0bcbbd50,AddVectoredExceptionHandler
0x19449861,0x19449861,AdjustCalendarDate
0x95f83ad,0x095f83ad,AdjustTokenGroups
0x5db3fd59,0x5db3fd59,AdjustTokenPrivileges
0x2dc1813f,0x2dc1813f,AdjustWindowRect
0xc5ecc058,0xc5ecc058,AdjustWindowRectEx
0x93978fca,0x93978fca,AlignRects
0x2fe6ffec,0x2fe6ffec,AllocConsole
0xa5e9f0c4,0xa5e9f0c4,AllocateAndInitializeSid
0xf2a52626,0xf2a52626,AllocateLocallyUniqueId
0x77b60095,0x77b60095,AllocateUserPhysicalPages
0xb4014d84,0xb4014d84,AllocateUserPhysicalPagesNuma
0xfd52d217,0xfd52d217,AllowForegroundActivation
0x10e16c82,0x10e16c82,AllowSetForegroundWindow
0xf369375b,0xf369375b,AlpcAdjustCompletionListConcurrencyCount
0x6a12fca1,0x6a12fca1,AlpcFreeCompletionListMessage
0x480a37d7,0x480a37d7,AlpcGetCompletionListLastMessageInformation
0xe5250b27,0xe5250b27,AlpcGetCompletionListMessageAttributes
0x62763b02,0x62763b02,AlpcGetHeaderSize
