HASH,HASH_W_LEADING_ZEROS,API_NAME
0xdb930dda,0xdb930dda,$I10_OUTPUT
0x35fa361b,0x35fa361b,1-1-0.AddDllDirectory
0xe0d4f14b,0xe0d4f14b,1-1-0.CreateRemoteThreadEx
0x95108883,0x95108883,1-1-0.DeleteProc
0x69f91cb8,0x69f91cb8,1-1-0.GetLogical
0xfb0f0efa,0xfb0f0efa,1-1-0.I_Query
0x753c1974,0x753c1974,1-1-0.I_Sc
0x1cf74006,0x1cf74006,1-1-0.I_ScValidate
0x1aab05c7,0x1aab05c7,1-1-0.InitializeProcThreadAttributeList
0x9c805331,0x9c805331,1-1-0.OpenProcessToken
0x4c7660ca,0x4c7660ca,1-1-0.OpenThreadToken
0xa8c689d,0x0a8c689d,1-1-0.RemoveDllDirectory
0xaa6a9f64,0xaa6a9f64,1-1-0.SetDefaultDllDirectories
0x11b15ec0,0x11b15ec0,1-1-0.SetThreadToken
0xdc634a45,0xdc634a45,1-1-0.SetWaitableTimerEx
0x21817627,0x21817627,1-1-0.UpdateProcThreadAttribute
0xb46627f,0x0b46627f,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UTextMarker@mark
0x6d1892dc,0x6d1892dc,??$AddMarker@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0xa162d095,0xa162d095,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$QAVMarkerOptions@1@UNoPayload@markers@01@@Z
0x9cf6aaa7,0x9cf6aaa7,??$AddMarkerToBuffer@UNoPayload@markers@baseprofiler@mozilla@@$$V@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UNoPayload@markers@01@@Z
0xd0cd9c4e,0xd0cd9c4e,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AAVProfileChunkedBuffer@1@ABV?$ProfilerStringView@D@1@ABVMarkerCategory@1@$$Q
0xe37300fc,0xe37300fc,??$AddMarkerToBuffer@UTextMarker@markers@baseprofiler@mozilla@@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@baseprofiler@mozilla@@YA?AVProfileBufferBlockIndex@1@AEAVProfileChunkedBuffer@1@AEBV?$ProfilerStringView@D@1@AEBVMarkerCategory@1@$$QEAVMarkerOptions@1@UTextMarker@markers@01@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z
0x1739c517,0x1739c517,??0AutoSuppressStackWalking@@QEAA@XZ
0x5a1b12a2,0x5a1b12a2,??0AwakeTimeDuration@mozilla@@QAE@XZ
0x610ac267,0x610ac267,??0ConditionVariableImpl@detail@mozilla@@QAE@XZ
0x7ca5baa7,0x7ca5baa7,??0ConditionVariableImpl@detail@mozilla@@QEAA@XZ
0xe4c2fb72,0xe4c2fb72,??0Decimal@blink@@QAE@ABV01@@Z
0x84027b8d,0x84027b8d,??0Decimal@blink@@QAE@ABVEncodedData@01@@Z
0xc46aa751,0xc46aa751,??0Decimal@blink@@QAE@H@Z
0x37230802,0x37230802,??0Decimal@blink@@QAE@W4Sign@01@H_K@Z
0x7ed42158,0x7ed42158,??0Decimal@blink@@QEAA@AEBV01@@Z
0xeeffc124,0xeeffc124,??0Decimal@blink@@QEAA@AEBVEncodedData@01@@Z
0x6c20909b,0x6c20909b,??0Decimal@blink@@QEAA@H@Z
0x5a05d171,0x5a05d171,??0Decimal@blink@@QEAA@W4Sign@01@H_K@Z
0x66b2e51d,0x66b2e51d,??0LZ4FrameCompressionContext@Compression@mozilla@@QAE@HI_N0@Z
0xd18f5ad1,0xd18f5ad1,??0LZ4FrameCompressionContext@Compression@mozilla@@QEAA@H_K_N1@Z
0x2fa02889,0x2fa02889,??0LZ4FrameDecompressionContext@Compression@mozilla@@QAE@_N@Z
0xc608d2ff,0xc608d2ff,??0LZ4FrameDecompressionContext@Compression@mozilla@@QEAA@_N@Z
